role,skills
Data Scientist,"python,machine learning,sql,statistics,data analysis,tensorflow,pandas,numpy,data visualization,deep learning"
Backend Developer,"python,java,sql,apis,django,rest,databases,docker,git,nodejs"
Frontend Developer,"javascript,react,css,html,typescript,ui design,web design,vue,angular,git"
DevOps Engineer,"docker,kubernetes,aws,cloud,ci/cd,linux,automation,bash,terraform,git"
Cloud Architect,"aws,azure,cloud,kubernetes,networking,security,terraform,docker,automation,system design"
Machine Learning Engineer,"python,machine learning,tensorflow,pytorch,deep learning,mlops,docker,apis,data pipelines,numpy"
Cybersecurity Analyst,"networking,security,linux,penetration testing,firewalls,encryption,python,threat analysis,siem,bash"
Full Stack Developer,"javascript,python,react,nodejs,sql,apis,docker,git,html,css"
Data Engineer,"python,sql,data pipelines,apache spark,kafka,aws,airflow,databases,etl,hadoop"
Mobile Developer,"swift,kotlin,react native,flutter,java,apis,ui design,git,mobile development,databases"
Systems Administrator,"linux,bash,networking,automation,windows server,virtualization,aws,security,monitoring,git"
AI Research Engineer,"python,deep learning,pytorch,machine learning,mathematics,statistics,research,numpy,tensorflow,nlp"
Blockchain Developer,"solidity,web3,ethereum,javascript,cryptography,smart contracts,python,git,nodejs,databases"
Game Developer,"c++,unity,unreal engine,python,game design,3d modeling,physics simulation,opengl,git,javascript"
QA Engineer,"testing,automation,selenium,python,java,ci/cd,git,sql,performance testing,api testing"
